departure,arrival,airplane_number,,,,letter,航线,,,,航班,航线,机场
CTU,CSX,CA4371,,CTUCSX,,JR2107,XIYPEK,,,,JR2107,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,CSX,CZ3462,,CTUCSX,,JR2105,XIYPEK,,,,JR2105,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,CSX,EU2749,,CTUCSX,,CA1290,XIYPEK,,,,CA1290,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,CSX,EU6665,,CTUCSX,,CA1224,XIYPEK,,,,CA1224,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,CSX,KY8268,,CTUCSX,,CA1232,XIYPEK,,,,CA1232,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,CZX,3U8711,,CTUCZX,,CA1236,XIYPEK,,,,CA1236,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,CZX,CA4589,,CTUCZX,,CA1472,XIYPEK,,,,CA1472,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,CZX,MU2936,,CTUCZX,,MF1064,XIYPEK,,,,MF1064,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,CZX,MU9695,,CTUCZX,,ZH9404,XIYPEK,,,,ZH9404,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,DAX,3U8255,,CTUDAX,,ZH9160,XIYPEK,,,,ZH9160,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,DCY,3U8005,,CTUDCY,,CZ3174,XIYPEK,,,,CZ3174,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,DCY,3U8359,,CTUDCY,,ZH1472,XIYPEK,,,,ZH1472,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,DCY,CA4215,,CTUDCY,,CA3637,XIYPEK,,,,CA3637,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,DIG,MU9746,,CTUDIG,,MU3057,XIYPEK,,,,MU3057,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,DLC,3U8333,,CTUDLC,,ZH1290,XIYPEK,,,,ZH1290,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,DLC,3U8811,,CTUDLC,,ZH1206,XIYPEK,,,,ZH1206,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,DLC,3U8813,,CTUDLC,,ZH1210,XIYPEK,,,,ZH1210,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,DLC,CA8972,,CTUDLC,,ZH1204,XIYPEK,,,,ZH1204,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,DLC,CZ6434,,CTUDLC,,ZH1202,XIYPEK,,,,ZH1202,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,DLC,CZ6436,,CTUDLC,,ZH1232,XIYPEK,,,,ZH1232,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,DLC,CZ6440,,CTUDLC,,ZH1236,XIYPEK,,,,ZH1236,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,DLC,CZ6456,,CTUDLC,,ZH1224,XIYPEK,,,,ZH1224,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,DLC,EU2269,,CTUDLC,,KY9404,XIYPEK,,,,KY9404,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,DLC,EU2723,,CTUDLC,,MU4651,XIYPEK,,,,MU4651,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,DLC,GJ8729,,CTUDLC,,MF4471,XIYPEK,,,,MF4471,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,DLC,GJ8907,,CTUDLC,,CZ6947,XIYPEK,,,,CZ6947,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,DLU,CA4415,,CTUDLU,,MU2334,XIYPEK,,,,MU2334,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,DLU,MU9742,,CTUDLU,,G54028,XIYPEK,,,,G54028,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,DLU,MU9744,,CTUDLU,,G54030,XIYPEK,,,,G54030,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,DOY,3U8319,,CTUDOY,,G54032,XIYPEK,,,,G54032,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,DOY,CA4277,,CTUDOY,,G54034,XIYPEK,,,,G54034,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,DQA,CZ6250,,CTUDQA,,G54038,XIYPEK,,,,G54038,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,DSN,3U8969,,CTUDSN,,G54044,XIYPEK,,,,G54044,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,DSN,KN2308,,CTUDSN,,G54042,XIYPEK,,,,G54042,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,DYG,CA4377,,CTUDYG,,G54050,XIYPEK,,,,G54050,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,FOC,3U8997,,CTUFOC,,MU2111,XIYPEK,,,,MU2111,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,FOC,8L9753,,CTUFOC,,MU2113,XIYPEK,,,,MU2113,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,FOC,CA4229,,CTUFOC,,MU2115,XIYPEK,,,,MU2115,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,FOC,EU2231,,CTUFOC,,MU2117,XIYPEK,,,,MU2117,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,FOC,EU2733,,CTUFOC,,MU2119,XIYPEK,,,,MU2119,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,FOC,MF8436,,CTUFOC,,MU2103,XIYPEK,,,,MU2103,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,FOC,MF8452,,CTUFOC,,MU2101,XIYPEK,,,,MU2101,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,FOC,TV9901,,CTUFOC,,MU2109,XIYPEK,,,,MU2109,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,FUG,3U8316,,CTUFUG,,MU2107,XIYPEK,,,,MU2107,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,GOQ,MU2435,,CTUGOQ,,MU2105,XIYPEK,,,,MU2105,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,HAK,3U8751,,CTUHAK,,HU7738,XIYPEK,,,,HU7738,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,HAK,8L9609,,CTUHAK,,SC1210,XIYPEK,,,,SC1210,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,HAK,CA4315,,CTUHAK,,SC1206,XIYPEK,,,,SC1206,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,HAK,HU7034,,CTUHAK,,SC1204,XIYPEK,,,,SC1204,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,HAK,HU7086,,CTUHAK,,SC1224,XIYPEK,,,,SC1224,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,HDG,3U8897,,CTUHDG,,SC1202,XIYPEK,,,,SC1202,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,HDG,GJ8907,,CTUHDG,,SC1290,XIYPEK,,,,SC1290,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,HET,3U8747,,CTUHET,,SC1232,XIYPEK,,,,SC1232,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,HET,8L9711,,CTUHET,,SC1236,XIYPEK,,,,SC1236,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,HET,CA1654,,CTUHET,,CZ9014,XIYPEK,,,,CZ9014,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,HET,EU2307,,CTUHET,,CZ9016,XIYPEK,,,,CZ9016,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,HFE,3U8713,,CTUHFE,,CZ9010,XIYPEK,,,,CZ9010,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,HFE,CA4521,,CTUHFE,,CZ9012,XIYPEK,,,,CZ9012,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,HFE,EU6679,,CTUHFE,,CZ9007,XIYPEK,,,,CZ9007,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,HFE,MU2229,,CTUHFE,,CZ9018,XIYPEK,,,,CZ9018,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,HFE,MU5436,,CTUHFE,,CZ9020,XIYPEK,,,,CZ9020,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,HFE,MU5653,,CTUHFE,,CZ9023,XIYPEK,,,,CZ9023,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,HFE,MU9687,,CTUHFE,,CZ9022,XIYPEK,,,,CZ9022,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,HGH,3U8316,,CTUHGH,,SC1472,XIYPEK,,,,SC1472,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,HGH,3U8631,,CTUHGH,,HU7238,XIYPEK,,,,HU7238,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,HGH,3U8911,,CTUHGH,,HU7138,XIYPEK,,,,HU7138,XIYPEK,西安咸阳国际机场-北京首都国际机场
CTU,HGH,3U8919,,CTUHGH,,G52670,INCTSN,,,,G52670,INCTSN,银川河东机场-天津滨海国际机场
CTU,HGH,CA1742,,CTUHGH,,ZH8924,INCTSN,,,,ZH8924,INCTSN,银川河东机场-天津滨海国际机场
CTU,HGH,CA1746,,CTUHGH,,G54216,INCTSN,,,,G54216,INCTSN,银川河东机场-天津滨海国际机场
CTU,HGH,CA4519,,CTUHGH,,SC8924,INCTSN,,,,SC8924,INCTSN,银川河东机场-天津滨海国际机场
CTU,HGH,CA4533,,CTUHGH,,CA8924,INCTSN,,,,CA8924,INCTSN,银川河东机场-天津滨海国际机场
CTU,HGH,CZ5326,,CTUHGH,,GS7854,SWATSN,,,,GS7854,SWATSN,揭阳潮汕机场-天津滨海国际机场
CTU,HGH,CZ5354,,CTUHGH,,MF4231,SWATSN,,,,MF4231,SWATSN,揭阳潮汕机场-天津滨海国际机场
CTU,HGH,EU2259,,CTUHGH,,CZ6655,SWATSN,,,,CZ6655,SWATSN,揭阳潮汕机场-天津滨海国际机场
CTU,HGH,GJ8680,,CTUHGH,,KN2966,XILNAY,,,,KN2966,XILNAY,锡林浩特机场-北京南苑机场
CTU,HGH,GJ8686,,CTUHGH,,KN2962,XILNAY,,,,KN2962,XILNAY,锡林浩特机场-北京南苑机场
CTU,HGH,GJ8886,,CTUHGH,,MU3790,XILNAY,,,,MU3790,XILNAY,锡林浩特机场-北京南苑机场
CTU,HGH,MF5057,,CTUHGH,,8L9815,MIGLHW,,,,8L9815,MIGLHW,绵阳南郊机场-兰州中川机场
CTU,HGH,MF5061,,CTUHGH,,TV9828,HGHYBP,,,,TV9828,HGHYBP,杭州萧山国际机场-宜宾莱坝机场
CTU,HGH,MF8424,,CTUHGH,,ZH3928,HGHYBP,,,,ZH3928,HGHYBP,杭州萧山国际机场-宜宾莱坝机场
CTU,HGH,MF8454,,CTUHGH,,CA3928,HGHYBP,,,,CA3928,HGHYBP,杭州萧山国际机场-宜宾莱坝机场
CTU,HGH,MU2251,,CTUHGH,,3U8923,CTUNKG,,,,3U8923,CTUNKG,成都双流国际机场-南京禄口国际机场
CTU,HGH,MU5495,,CTUHGH,,3U8993,CTUNKG,,,,3U8993,CTUNKG,成都双流国际机场-南京禄口国际机场
CTU,HGH,MU5499,,CTUHGH,,ZH9566,CTUNKG,,,,ZH9566,CTUNKG,成都双流国际机场-南京禄口国际机场
CTU,HIA,CA4021,,CTUHIA,,SC4505,CTUNKG,,,,SC4505,CTUNKG,成都双流国际机场-南京禄口国际机场
CTU,HIA,ZH4021,,CTUHIA,,ZH9214,CTUNKG,,,,ZH9214,CTUNKG,成都双流国际机场-南京禄口国际机场
CTU,HJJ,ZH9483,,CTUHJJ,,MU4529,CTUNKG,,,,MU4529,CTUNKG,成都双流国际机场-南京禄口国际机场
CTU,HLD,3U8747,,CTUHLD,,MU4517,CTUNKG,,,,MU4517,CTUNKG,成都双流国际机场-南京禄口国际机场
CTU,HLH,EU2775,,CTUHLH,,CA3939,CTUNKG,,,,CA3939,CTUNKG,成都双流国际机场-南京禄口国际机场
CTU,HMI,CA4257,,CTUHMI,,TV9839,CTUNKG,,,,TV9839,CTUNKG,成都双流国际机场-南京禄口国际机场
CTU,HRB,3U8371,,CTUHRB,,CA3428,CTUNKG,,,,CA3428,CTUNKG,成都双流国际机场-南京禄口国际机场
CTU,HRB,3U8843,,CTUHRB,,MU2879,CTUNKG,,,,MU2879,CTUNKG,成都双流国际机场-南京禄口国际机场
CTU,HRB,3U8877,,CTUHRB,,MU2885,CTUNKG,,,,MU2885,CTUNKG,成都双流国际机场-南京禄口国际机场
CTU,HRB,CA4177,,CTUHRB,,MU2855,CTUNKG,,,,MU2855,CTUNKG,成都双流国际机场-南京禄口国际机场
CTU,HRB,CZ6256,,CTUHRB,,MU2859,CTUNKG,,,,MU2859,CTUNKG,成都双流国际机场-南京禄口国际机场
CTU,HRB,DR5013,,CTUHRB,,MU2816,CTUNKG,,,,MU2816,CTUNKG,成都双流国际机场-南京禄口国际机场
CTU,HRB,DR6541,,CTUHRB,,MU2806,CTUNKG,,,,MU2806,CTUNKG,成都双流国际机场-南京禄口国际机场
CTU,HRB,EU2239,,CTUHRB,,ZH3939,CTUNKG,,,,ZH3939,CTUNKG,成都双流国际机场-南京禄口国际机场
CTU,HRB,TV9925,,CTUHRB,,KY9214,CTUNKG,,,,KY9214,CTUNKG,成都双流国际机场-南京禄口国际机场
CTU,HTN,G5260G,,CTUHTN,,EU2759,CTUNKG,,,,EU2759,CTUNKG,成都双流国际机场-南京禄口国际机场
CTU,HUZ,CA4221,,CTUHUZ,,CA4505,CTUNKG,,,,CA4505,CTUNKG,成都双流国际机场-南京禄口国际机场
CTU,HUZ,ZH4221,,CTUHUZ,,3U5029,CTUNKG,,,,3U5029,CTUNKG,成都双流国际机场-南京禄口国际机场
CTU,HYN,EU2711,,CTUHYN,,3U5023,CTUNKG,,,,3U5023,CTUNKG,成都双流国际机场-南京禄口国际机场
CTU,INC,3U8115,,CTUINC,,3U5025,CTUNKG,,,,3U5025,CTUNKG,成都双流国际机场-南京禄口国际机场
CTU,INC,3U8877,,CTUINC,,3U5027,CTUNKG,,,,3U5027,CTUNKG,成都双流国际机场-南京禄口国际机场
CTU,INC,3U8945,,CTUINC,,MU5596,CTUNKG,,,,MU5596,CTUNKG,成都双流国际机场-南京禄口国际机场
CTU,INC,CA404,,CTUINC,,MU5595,CTUNKG,,,,MU5595,CTUNKG,成都双流国际机场-南京禄口国际机场
CTU,INC,CA4231,,CTUINC,,TV6008,CTUNKG,,,,TV6008,CTUNKG,成都双流国际机场-南京禄口国际机场
CTU,INC,EU2275,,CTUINC,,ZH4505,CTUNKG,,,,ZH4505,CTUNKG,成都双流国际机场-南京禄口国际机场
CTU,INC,MU2295,,CTUINC,,CA3983,LXAXIY,,,,CA3983,LXAXIY,拉萨贡嘎机场-西安咸阳国际机场
CTU,IQN,DR5013,,CTUIQN,,MU2336,LXAXIY,,,,MU2336,LXAXIY,拉萨贡嘎机场-西安咸阳国际机场
CTU,JDZ,SC4936,,CTUJDZ,,MU2334,LXAXIY,,,,MU2334,LXAXIY,拉萨贡嘎机场-西安咸阳国际机场
CTU,JGN,3U8771,,CTUJGN,,G56533,LXAXIY,,,,G56533,LXAXIY,拉萨贡嘎机场-西安咸阳国际机场
CTU,JGS,EU2735,,CTUJGS,,G56535,LXAXIY,,,,G56535,LXAXIY,拉萨贡嘎机场-西安咸阳国际机场
CTU,JHG,3U8573,,CTUJHG,,MU3542,LXAXIY,,,,MU3542,LXAXIY,拉萨贡嘎机场-西安咸阳国际机场
CTU,JHG,8L9645,,CTUJHG,,ZH3983,LXAXIY,,,,ZH3983,LXAXIY,拉萨贡嘎机场-西安咸阳国际机场
CTU,JIC,EU2273,,CTUJIC,,JR2334,LXAXIY,,,,JR2334,LXAXIY,拉萨贡嘎机场-西安咸阳国际机场
CTU,JIQ,CZ3856,,CTUJIQ,,JR2336,LXAXIY,,,,JR2336,LXAXIY,拉萨贡嘎机场-西安咸阳国际机场
CTU,JJN,3U8255,,CTUJJN,,3U8754,LXAXIY,,,,3U8754,LXAXIY,拉萨贡嘎机场-西安咸阳国际机场
CTU,JJN,3U8639,,CTUJJN,,TV9883,LXAXIY,,,,TV9883,LXAXIY,拉萨贡嘎机场-西安咸阳国际机场
CTU,JJN,MF8448,,CTUJJN,,3U8688,LXAXIY,,,,3U8688,LXAXIY,拉萨贡嘎机场-西安咸阳国际机场
CTU,JJN,ZH9483,,CTUJJN,,3U8600,LXAXIY,,,,3U8600,LXAXIY,拉萨贡嘎机场-西安咸阳国际机场
CTU,JJN,ZH9487,,CTUJJN,,JR5723,KMGXIY,,,,JR5723,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,JNG,EU2709,,CTUJNG,,MU5723,KMGXIY,,,,MU5723,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,JNG,EU2723,,CTUJNG,,ZH9712,KMGXIY,,,,ZH9712,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,JNZ,8L9705,,CTUJNZ,,MU5968,KMGXIY,,,,MU5968,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,JUH,HO1270,,CTUJUH,,MU5976,KMGXIY,,,,MU5976,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KGT,3U8037,,CTUKGT,,GS7862,KMGXIY,,,,GS7862,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KGT,3U8359,,CTUKGT,,GS7858,KMGXIY,,,,GS7858,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KGT,8L9627,,CTUKGT,,GS7662,KMGXIY,,,,GS7662,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KHG,3U8525,,CTUKHG,,GS7654,KMGXIY,,,,GS7654,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KHG,CA4241,,CTUKHG,,3U8527,KMGXIY,,,,3U8527,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KHN,3U8375,,CTUKHN,,CZ8510,KMGXIY,,,,CZ8510,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KHN,3U8927,,CTUKHN,,CA5713,KMGXIY,,,,CA5713,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KHN,CA4507,,CTUKHN,,CA5737,KMGXIY,,,,CA5737,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KHN,MU5373,,CTUKHN,,CA5753,KMGXIY,,,,CA5753,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KHN,ZH9777,,CTUKHN,,KY8253,KMGXIY,,,,KY8253,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KJH,GJ8680,,CTUKJH,,KY8213,KMGXIY,,,,KY8213,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KMG,3U8661,,CTUKMG,,KY8237,KMGXIY,,,,KY8237,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KMG,3U8667,,CTUKMG,,MU2182,KMGXIY,,,,MU2182,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KMG,3U8670,,CTUKMG,,CZ6270,KMGXIY,,,,CZ6270,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KMG,8L9946,,CTUKMG,,MU2208,KMGXIY,,,,MU2208,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KMG,8L9948,,CTUKMG,,MU2263,KMGXIY,,,,MU2263,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KMG,A67102,,CTUKMG,,MU2275,KMGXIY,,,,MU2275,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KMG,CA415,,CTUKMG,,MU2362,KMGXIY,,,,MU2362,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KMG,CA4413,,CTUKMG,,JR2182,KMGXIY,,,,JR2182,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KMG,CA4417,,CTUKMG,,JR2263,KMGXIY,,,,JR2263,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KMG,CA4459,,CTUKMG,,JR2208,KMGXIY,,,,JR2208,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KMG,DR6522,,CTUKMG,,JR2362,KMGXIY,,,,JR2362,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KMG,EU2223,,CTUKMG,,CZ6416,KMGXIY,,,,CZ6416,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KMG,KY8322,,CTUKMG,,MU4782,KMGXIY,,,,MU4782,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KMG,MU5842,,CTUKMG,,MF1927,KMGXIY,,,,MF1927,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KMG,MU5844,,CTUKMG,,CZ9539,KMGXIY,,,,CZ9539,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KMG,MU5846,,CTUKMG,,CZ9538,KMGXIY,,,,CZ9538,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KMG,MU5848,,CTUKMG,,CZ9541,KMGXIY,,,,CZ9541,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KMG,MU5850,,CTUKMG,,CZ9040,KMGXIY,,,,CZ9040,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KMG,MU5852,,CTUKMG,,G56531,KMGXIY,,,,G56531,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KMG,MU5854,,CTUKMG,,8L9993,KMGXIY,,,,8L9993,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KMG,MU5856,,CTUKMG,,8L9983,KMGXIY,,,,8L9983,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KOW,3U8937,,CTUKOW,,MF4040,KMGXIY,,,,MF4040,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KRL,CA4007,,CTUKRL,,DR6519,KMGXIY,,,,DR6519,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KRL,CA4159,,CTUKRL,,3U5219,KMGXIY,,,,3U5219,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KRL,CZ6926,,CTUKRL,,3U5217,KMGXIY,,,,3U5217,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KRY,CA4031,,CTUKRY,,3U5215,KMGXIY,,,,3U5215,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KRY,ZH4031,,CTUKRY,,3U5213,KMGXIY,,,,3U5213,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KWE,3U8639,,CTUKWE,,ZH3113,KMGXIY,,,,ZH3113,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KWE,CA4437,,CTUKWE,,ZH3153,KMGXIY,,,,ZH3153,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KWE,CA4439,,CTUKWE,,ZH3137,KMGXIY,,,,ZH3137,KMGXIY,昆明长水国际机场-西安咸阳国际机场
CTU,KWE,CZ3768,,CTUKWE,,MU2280,GOQXNN,,,,MU2280,GOQXNN,格尔木机场-西宁曹家堡机场
CTU,KWE,EU2729,,CTUKWE,,SC1259,TSNKWE,,,,SC1259,TSNKWE,天津滨海国际机场-贵阳龙洞堡国际机场
CTU,KWE,EU2733,,CTUKWE,,NS8457,TSNKWE,,,,NS8457,TSNKWE,天津滨海国际机场-贵阳龙洞堡国际机场
CTU,KWE,G52645,,CTUKWE,,G54229,TSNKWE,,,,G54229,TSNKWE,天津滨海国际机场-贵阳龙洞堡国际机场
CTU,KWE,G52672,,CTUKWE,,GS7929,TSNKWE,,,,GS7929,TSNKWE,天津滨海国际机场-贵阳龙洞堡国际机场
CTU,KWE,G52719,,CTUKWE,,GS7901,TSNKWE,,,,GS7901,TSNKWE,天津滨海国际机场-贵阳龙洞堡国际机场
CTU,KWE,GY7118,,CTUKWE,,CZ5357,TSNKWE,,,,CZ5357,TSNKWE,天津滨海国际机场-贵阳龙洞堡国际机场
CTU,KWE,TV9825,,CTUKWE,,ZH1259,TSNKWE,,,,ZH1259,TSNKWE,天津滨海国际机场-贵阳龙洞堡国际机场
CTU,KWL,3U8427,,CTUKWL,,MF8457,TSNKWE,,,,MF8457,TSNKWE,天津滨海国际机场-贵阳龙洞堡国际机场
CTU,KWL,CA4323,,CTUKWL,,CA1259,TSNKWE,,,,CA1259,TSNKWE,天津滨海国际机场-贵阳龙洞堡国际机场
CTU,KWL,SC4764,,CTUKWL,,HO1018,DYGSHA,,,,HO1018,DYGSHA,张家界荷花机场-上海虹桥国际机场
CTU,LCX,3U8427,,CTULCX,,MU4019,SHABFJ,,,,MU4019,SHABFJ,上海虹桥国际机场-毕节飞雄机场
CTU,LHW,3U8062,,CTULHW,,HO1095,SHABFJ,,,,HO1095,SHABFJ,上海虹桥国际机场-毕节飞雄机场
CTU,LHW,3U8569,,CTULHW,,SC1682,MDGPEK,,,,SC1682,MDGPEK,牡丹江海浪机场-北京首都国际机场
CTU,LHW,3U8771,,CTULHW,,CA1682,MDGPEK,,,,CA1682,MDGPEK,牡丹江海浪机场-北京首都国际机场
CTU,LHW,CA4207,,CTULHW,,CN7104,MDGPEK,,,,CN7104,MDGPEK,牡丹江海浪机场-北京首都国际机场
CTU,LHW,EU2271,,CTULHW,,ZH1682,MDGPEK,,,,ZH1682,MDGPEK,牡丹江海浪机场-北京首都国际机场
CTU,LHW,EU2273,,CTULHW,,HU7104,MDGPEK,,,,HU7104,MDGPEK,牡丹江海浪机场-北京首都国际机场
CTU,LHW,HU7592,,CTULHW,,MF4477,SJWURC,,,,MF4477,SJWURC,石家庄正定机场-乌鲁木齐地窝铺国际机场
CTU,LHW,MU2414,,CTULHW,,JD5383,SJWURC,,,,JD5383,SJWURC,石家庄正定机场-乌鲁木齐地窝铺国际机场
CTU,LHW,MU2471,,CTULHW,,CZ6953,SJWURC,,,,CZ6953,SJWURC,石家庄正定机场-乌鲁木齐地窝铺国际机场
CTU,LHW,TV9829,,CTULHW,,G55159,SJWURC,,,,G55159,SJWURC,石家庄正定机场-乌鲁木齐地窝铺国际机场
CTU,LJG,3U8691,,CTULJG,,MU3509,SJWURC,,,,MU3509,SJWURC,石家庄正定机场-乌鲁木齐地窝铺国际机场
CTU,LJG,8L9625,,CTULJG,,JR2161,JGNXIY,,,,JR2161,JGNXIY,嘉峪关机场-西安咸阳国际机场
CTU,LJG,CA4265,,CTULJG,,JR2323,JGNXIY,,,,JR2323,JGNXIY,嘉峪关机场-西安咸阳国际机场
CTU,LJG,CA4451,,CTULJG,,MU2113,JGNXIY,,,,MU2113,JGNXIY,嘉峪关机场-西安咸阳国际机场
CTU,LJG,EU2237,,CTULJG,,MU2161,JGNXIY,,,,MU2161,JGNXIY,嘉峪关机场-西安咸阳国际机场
CTU,LJG,QW6005,,CTULJG,,MU2323,JGNXIY,,,,MU2323,JGNXIY,嘉峪关机场-西安咸阳国际机场
CTU,LLV,EU2307,,CTULLV,,CZ9035,JGNXIY,,,,CZ9035,JGNXIY,嘉峪关机场-西安咸阳国际机场
CTU,LXA,3U8657,,CTULXA,,CZ9089,JGNXIY,,,,CZ9089,JGNXIY,嘉峪关机场-西安咸阳国际机场
CTU,LXA,3U8695,,CTULXA,,KY9448,XNNSHE,,,,KY9448,XNNSHE,西宁曹家堡机场-沈阳桃仙国际机场
CTU,LXA,3U8697,,CTULXA,,ZH9448,XNNSHE,,,,ZH9448,XNNSHE,西宁曹家堡机场-沈阳桃仙国际机场
