departure,arrival,airplane_number,,,,letter,航线,,,,航班,航线,机场
AKU,KHG,CZ8742,,AKUKHG,,3U8108,TAOKMG,,,,3U8108,TAOKMG,青岛流亭国际机场-昆明长水国际机场
AKU,PEK,CA1276,,AKUPEK,,SC4695,TAOKMG,,,,SC4695,TAOKMG,青岛流亭国际机场-昆明长水国际机场
AKU,TAO,SC8816,,AKUTAO,,MU5279,TAOKMG,,,,MU5279,TAOKMG,青岛流亭国际机场-昆明长水国际机场
AKU,URC,CA1276,,AKUURC,,MF3037,TAOKMG,,,,MF3037,TAOKMG,青岛流亭国际机场-昆明长水国际机场
AKU,URC,CZ6862,,AKUURC,,KY8240,TAOKMG,,,,KY8240,TAOKMG,青岛流亭国际机场-昆明长水国际机场
AKU,URC,CZ6864,,AKUURC,,MU2433,TAOKMG,,,,MU2433,TAOKMG,青岛流亭国际机场-昆明长水国际机场
AKU,URC,CZ6866,,AKUURC,,SC3018,TAOKMG,,,,SC3018,TAOKMG,青岛流亭国际机场-昆明长水国际机场
AKU,URC,CZ6868,,AKUURC,,MU768,TAOKMG,,,,MU768,TAOKMG,青岛流亭国际机场-昆明长水国际机场
AKU,URC,CZ6870,,AKUURC,,ZH4431,CTULZY,,,,ZH4431,CTULZY,成都双流国际机场-林芝机场
AKU,URC,CZ6919,,AKUURC,,SC4431,CTULZY,,,,SC4431,CTULZY,成都双流国际机场-林芝机场
AKU,URC,CZ8614,,AKUURC,,3U8693,CTULZY,,,,3U8693,CTULZY,成都双流国际机场-林芝机场
AKU,URC,GS7514,,AKUURC,,CA3932,CTULZY,,,,CA3932,CTULZY,成都双流国际机场-林芝机场
AKU,URC,GS7516,,AKUURC,,TV6303,CTULZY,,,,TV6303,CTULZY,成都双流国际机场-林芝机场
AKU,URC,GS7518,,AKUURC,,ZH4251,CTULZY,,,,ZH4251,CTULZY,成都双流国际机场-林芝机场
